fund_name,fund_id,month,monthly_net_flow
Growth ETF Fund 03,3,2022-01-01,3551114.55
Growth ETF Fund 22,22,2022-01-01,7130074.74
Growth ETF Fund 37,37,2022-01-01,165791.77
Growth ETF Fund 42,42,2022-01-01,-1663538.82
Growth ETF Fund 46,46,2022-01-01,2093514.17
International ETF Fund 24,24,2022-01-01,349362.2
International ETF Fund 33,33,2022-01-01,1764880.26
International ETF Fund 44,44,2022-01-01,297494.76
International ETF Fund 45,45,2022-01-01,-3916588.03
International Index Fund 19,19,2022-01-01,-1287881.11
International Index Fund 26,26,2022-01-01,3878026.3
International Index Fund 49,49,2022-01-01,-2763018.01
Large Cap Index Fund 07,7,2022-01-01,-135829.36
Large Cap Index Fund 08,8,2022-01-01,2719100.65
Large Cap Index Fund 18,18,2022-01-01,2426291.39
Large Cap Index Fund 48,48,2022-01-01,4453.47
Municipal Bond Fund 13,13,2022-01-01,247639.35
Municipal Bond Fund 30,30,2022-01-01,1181406.7
Municipal Bond Fund 31,31,2022-01-01,190358.25
Prime Cash Reserves Fund 02,2,2022-01-01,6204725.88
Prime Cash Reserves Fund 29,29,2022-01-01,1663581.04
Prime Cash Reserves Fund 51,51,2022-01-01,2523033.34
Short Term Bond Fund 32,32,2022-01-01,-299480.55
Short Term Bond Fund 41,41,2022-01-01,-278793.63
Small Cap Index Fund 01,1,2022-01-01,-3681999.49
Small Cap Index Fund 20,20,2022-01-01,1023496.94
Small Cap Index Fund 35,35,2022-01-01,747349.82
Target Retirement 2030 Fund 16,16,2022-01-01,3704551.06
Target Retirement 2030 Fund 34,34,2022-01-01,708268.72
Target Retirement 2040 Fund 15,15,2022-01-01,3375861.85
Target Retirement 2040 Fund 52,52,2022-01-01,3854869.93
Target Retirement 2050 Fund 05,5,2022-01-01,2673157.92
Total Bond Fund 04,4,2022-01-01,2014117.04
Total Market Index Fund 11,11,2022-01-01,4724623.79
Total Market Index Fund 39,39,2022-01-01,-615805.22
Total Market Index Fund 47,47,2022-01-01,1043285.26
Value Opportunities Fund 06,6,2022-01-01,-408780.51
Active Growth Fund 10,10,2022-02-01,131962.48
Active Growth Fund 14,14,2022-02-01,638502.07
Active Growth Fund 17,17,2022-02-01,-111260.66
Core Equity ETF Fund 12,12,2022-02-01,-4802560.63
Core Equity ETF Fund 27,27,2022-02-01,1650659.09
Core Equity ETF Fund 38,38,2022-02-01,-2307961.14
Core Plus Bond Fund 21,21,2022-02-01,-2518982.8
Core Plus Bond Fund 40,40,2022-02-01,261064.7
Core Plus Bond Fund 43,43,2022-02-01,248193.47
Dividend ETF Fund 09,9,2022-02-01,2440992.01
Dividend ETF Fund 23,23,2022-02-01,2162758.98
Dividend ETF Fund 28,28,2022-02-01,1558599.4
Federal Money Market Fund 25,25,2022-02-01,6020467.29
Global Equity Fund 36,36,2022-02-01,-3789998.68
Global Equity Fund 50,50,2022-02-01,79269.63
Growth ETF Fund 03,3,2022-02-01,3929906.69
Growth ETF Fund 22,22,2022-02-01,1521067.77
Growth ETF Fund 37,37,2022-02-01,166272.07
Growth ETF Fund 42,42,2022-02-01,3038994.37
Growth ETF Fund 46,46,2022-02-01,183055.03
International ETF Fund 24,24,2022-02-01,-5123355.09
International ETF Fund 33,33,2022-02-01,1259350.9
International ETF Fund 44,44,2022-02-01,145748.58
International ETF Fund 45,45,2022-02-01,-2578321.63
International Index Fund 19,19,2022-02-01,3338805.84
International Index Fund 26,26,2022-02-01,-453729.12
International Index Fund 49,49,2022-02-01,338972.66
Large Cap Index Fund 07,7,2022-02-01,440160.67
Large Cap Index Fund 08,8,2022-02-01,3162808.22
Large Cap Index Fund 18,18,2022-02-01,-2017569.48
Large Cap Index Fund 48,48,2022-02-01,-280949.0
Municipal Bond Fund 13,13,2022-02-01,79367.93
Municipal Bond Fund 30,30,2022-02-01,-420934.62
Municipal Bond Fund 31,31,2022-02-01,4983367.81
Prime Cash Reserves Fund 02,2,2022-02-01,5435257.94
Prime Cash Reserves Fund 29,29,2022-02-01,3386613.7
Prime Cash Reserves Fund 51,51,2022-02-01,8493325.44
Short Term Bond Fund 32,32,2022-02-01,126941.55
Short Term Bond Fund 41,41,2022-02-01,-286381.74
Small Cap Index Fund 01,1,2022-02-01,-9615696.35
Small Cap Index Fund 20,20,2022-02-01,974295.53
Small Cap Index Fund 35,35,2022-02-01,138568.77
Target Retirement 2030 Fund 16,16,2022-02-01,2095036.75
Target Retirement 2030 Fund 34,34,2022-02-01,1649246.07
Target Retirement 2040 Fund 15,15,2022-02-01,3781881.94
Target Retirement 2040 Fund 52,52,2022-02-01,866180.48
Target Retirement 2050 Fund 05,5,2022-02-01,712614.38
Total Bond Fund 04,4,2022-02-01,-449894.51
Total Market Index Fund 11,11,2022-02-01,630672.99
Total Market Index Fund 39,39,2022-02-01,-3486619.81
Total Market Index Fund 47,47,2022-02-01,625019.53
Value Opportunities Fund 06,6,2022-02-01,3061863.87
Active Growth Fund 10,10,2022-03-01,-110248.51
Active Growth Fund 14,14,2022-03-01,31609.59
Active Growth Fund 17,17,2022-03-01,407548.7
Core Equity ETF Fund 12,12,2022-03-01,3637520.22
Core Equity ETF Fund 27,27,2022-03-01,15546708.04
Core Equity ETF Fund 38,38,2022-03-01,-1399782.3
Core Plus Bond Fund 21,21,2022-03-01,564424.92
Core Plus Bond Fund 40,40,2022-03-01,101721.07
Core Plus Bond Fund 43,43,2022-03-01,1859576.77
Dividend ETF Fund 09,9,2022-03-01,4865222.27
Dividend ETF Fund 23,23,2022-03-01,927823.64
Dividend ETF Fund 28,28,2022-03-01,3969565.17
Federal Money Market Fund 25,25,2022-03-01,11828819.0
Global Equity Fund 36,36,2022-03-01,875960.08
Global Equity Fund 50,50,2022-03-01,-694870.97
Growth ETF Fund 03,3,2022-03-01,1071496.32
Growth ETF Fund 22,22,2022-03-01,-4642310.87
Growth ETF Fund 37,37,2022-03-01,49542.94
Growth ETF Fund 42,42,2022-03-01,-1055158.39
Growth ETF Fund 46,46,2022-03-01,-2254589.54
International ETF Fund 24,24,2022-03-01,-5729079.29
International ETF Fund 33,33,2022-03-01,2632607.49
International ETF Fund 44,44,2022-03-01,117662.21
International ETF Fund 45,45,2022-03-01,1689292.26
International Index Fund 19,19,2022-03-01,3519424.9
International Index Fund 26,26,2022-03-01,4177381.89
International Index Fund 49,49,2022-03-01,-219900.58
Large Cap Index Fund 07,7,2022-03-01,3734518.18
Large Cap Index Fund 08,8,2022-03-01,2601748.27
Large Cap Index Fund 18,18,2022-03-01,5379852.4
Large Cap Index Fund 48,48,2022-03-01,-3944810.27
Municipal Bond Fund 13,13,2022-03-01,5497376.63
Municipal Bond Fund 30,30,2022-03-01,2653538.03
Municipal Bond Fund 31,31,2022-03-01,3204767.84
Prime Cash Reserves Fund 02,2,2022-03-01,2817755.39
Prime Cash Reserves Fund 29,29,2022-03-01,10955712.95
Prime Cash Reserves Fund 51,51,2022-03-01,3289317.7
Short Term Bond Fund 32,32,2022-03-01,1902170.61
Short Term Bond Fund 41,41,2022-03-01,-200013.7
Small Cap Index Fund 01,1,2022-03-01,-1062598.11
Small Cap Index Fund 20,20,2022-03-01,739360.62
Small Cap Index Fund 35,35,2022-03-01,1326966.6
Target Retirement 2030 Fund 16,16,2022-03-01,3364364.17
Target Retirement 2030 Fund 34,34,2022-03-01,715229.66
Target Retirement 2040 Fund 15,15,2022-03-01,6448256.57
Target Retirement 2040 Fund 52,52,2022-03-01,4382964.09
Target Retirement 2050 Fund 05,5,2022-03-01,2802671.54
Total Bond Fund 04,4,2022-03-01,489193.28
Total Market Index Fund 11,11,2022-03-01,-872787.98
Total Market Index Fund 39,39,2022-03-01,1328393.54
Total Market Index Fund 47,47,2022-03-01,-2024187.82
Value Opportunities Fund 06,6,2022-03-01,2999093.79
Active Growth Fund 10,10,2022-04-01,332527.96
Active Growth Fund 14,14,2022-04-01,1176992.94
Active Growth Fund 17,17,2022-04-01,66796.32
Core Equity ETF Fund 12,12,2022-04-01,7243973.13
Core Equity ETF Fund 27,27,2022-04-01,2149405.71
Core Equity ETF Fund 38,38,2022-04-01,-746628.09
Core Plus Bond Fund 21,21,2022-04-01,3428801.11
Core Plus Bond Fund 40,40,2022-04-01,285209.26
Core Plus Bond Fund 43,43,2022-04-01,969349.59
Dividend ETF Fund 09,9,2022-04-01,4950326.68
Dividend ETF Fund 23,23,2022-04-01,1397764.0
Dividend ETF Fund 28,28,2022-04-01,2275609.96
Federal Money Market Fund 25,25,2022-04-01,1866161.76
Global Equity Fund 36,36,2022-04-01,3293595.56
Global Equity Fund 50,50,2022-04-01,4373830.59
Growth ETF Fund 03,3,2022-04-01,10138589.27
Growth ETF Fund 22,22,2022-04-01,11079771.25
Growth ETF Fund 37,37,2022-04-01,2969850.17
Growth ETF Fund 42,42,2022-04-01,1054450.21
Growth ETF Fund 46,46,2022-04-01,955659.14
International ETF Fund 24,24,2022-04-01,3149213.28
International ETF Fund 33,33,2022-04-01,-1982520.64
International ETF Fund 44,44,2022-04-01,494679.42
International ETF Fund 45,45,2022-04-01,2025621.17
International Index Fund 19,19,2022-04-01,59009.29
International Index Fund 26,26,2022-04-01,6028471.79
International Index Fund 49,49,2022-04-01,3036252.12
Large Cap Index Fund 07,7,2022-04-01,4068753.63
Large Cap Index Fund 08,8,2022-04-01,3979074.08
Large Cap Index Fund 18,18,2022-04-01,1800866.31
Large Cap Index Fund 48,48,2022-04-01,4069780.19
Municipal Bond Fund 13,13,2022-04-01,3129790.95
Municipal Bond Fund 30,30,2022-04-01,761553.31
Municipal Bond Fund 31,31,2022-04-01,7097703.57
Prime Cash Reserves Fund 02,2,2022-04-01,3543270.72
Prime Cash Reserves Fund 29,29,2022-04-01,-1618018.7
Prime Cash Reserves Fund 51,51,2022-04-01,1114029.11
Short Term Bond Fund 32,32,2022-04-01,4098645.68
Short Term Bond Fund 41,41,2022-04-01,-530968.11
Small Cap Index Fund 01,1,2022-04-01,12675042.49
Small Cap Index Fund 20,20,2022-04-01,-739424.38
Small Cap Index Fund 35,35,2022-04-01,-934455.92
Target Retirement 2030 Fund 16,16,2022-04-01,4700925.02
Target Retirement 2030 Fund 34,34,2022-04-01,3422922.87
Target Retirement 2040 Fund 15,15,2022-04-01,3328867.84
Target Retirement 2040 Fund 52,52,2022-04-01,8660537.77
Target Retirement 2050 Fund 05,5,2022-04-01,2945291.11
Total Bond Fund 04,4,2022-04-01,-30991.8
Total Market Index Fund 11,11,2022-04-01,6889632.29
Total Market Index Fund 39,39,2022-04-01,2509144.66
Total Market Index Fund 47,47,2022-04-01,1110186.69
Value Opportunities Fund 06,6,2022-04-01,3730587.83
Active Growth Fund 10,10,2022-05-01,75707.43
Active Growth Fund 14,14,2022-05-01,763607.29
Active Growth Fund 17,17,2022-05-01,68230.16
Core Equity ETF Fund 12,12,2022-05-01,4263288.01
Core Equity ETF Fund 27,27,2022-05-01,13667007.7
Core Equity ETF Fund 38,38,2022-05-01,5090481.62
Core Plus Bond Fund 21,21,2022-05-01,2568246.42
Core Plus Bond Fund 40,40,2022-05-01,298445.83
Core Plus Bond Fund 43,43,2022-05-01,1267066.47
Dividend ETF Fund 09,9,2022-05-01,635245.35
Dividend ETF Fund 23,23,2022-05-01,-45827.72
Dividend ETF Fund 28,28,2022-05-01,2397549.41
Federal Money Market Fund 25,25,2022-05-01,-226626.35
Global Equity Fund 36,36,2022-05-01,2542388.74
Global Equity Fund 50,50,2022-05-01,-105561.38
Growth ETF Fund 03,3,2022-05-01,1877006.27
Growth ETF Fund 22,22,2022-05-01,14752053.73
Growth ETF Fund 37,37,2022-05-01,3845085.73
Growth ETF Fund 42,42,2022-05-01,837330.6
Growth ETF Fund 46,46,2022-05-01,9830085.92
International ETF Fund 24,24,2022-05-01,631805.87
International ETF Fund 33,33,2022-05-01,1649130.4
International ETF Fund 44,44,2022-05-01,4754277.21
International ETF Fund 45,45,2022-05-01,-3686392.31
International Index Fund 19,19,2022-05-01,-1849837.25
International Index Fund 26,26,2022-05-01,1788291.19
International Index Fund 49,49,2022-05-01,4024212.55
Large Cap Index Fund 07,7,2022-05-01,-2644301.48
Large Cap Index Fund 08,8,2022-05-01,771472.77
Large Cap Index Fund 18,18,2022-05-01,-2970370.28
Large Cap Index Fund 48,48,2022-05-01,1102711.12
Municipal Bond Fund 13,13,2022-05-01,1078823.08
Municipal Bond Fund 30,30,2022-05-01,-1162095.38
Municipal Bond Fund 31,31,2022-05-01,2053146.82
Prime Cash Reserves Fund 02,2,2022-05-01,14021215.91
Prime Cash Reserves Fund 29,29,2022-05-01,3087128.08
Prime Cash Reserves Fund 51,51,2022-05-01,18523870.84
Short Term Bond Fund 32,32,2022-05-01,575537.24
Short Term Bond Fund 41,41,2022-05-01,-3426924.96
Small Cap Index Fund 01,1,2022-05-01,-2395443.18
Small Cap Index Fund 20,20,2022-05-01,3428974.93
Small Cap Index Fund 35,35,2022-05-01,10644055.04
Target Retirement 2030 Fund 16,16,2022-05-01,1896358.12
Target Retirement 2030 Fund 34,34,2022-05-01,2548563.02
Target Retirement 2040 Fund 15,15,2022-05-01,5358270.79
Target Retirement 2040 Fund 52,52,2022-05-01,6009660.33
Target Retirement 2050 Fund 05,5,2022-05-01,5341195.84
Total Bond Fund 04,4,2022-05-01,-139286.71
Total Market Index Fund 11,11,2022-05-01,-176351.17
Total Market Index Fund 39,39,2022-05-01,5785968.14
Total Market Index Fund 47,47,2022-05-01,-168567.61
Value Opportunities Fund 06,6,2022-05-01,1451517.06
Active Growth Fund 10,10,2022-06-01,2547501.52
Active Growth Fund 14,14,2022-06-01,1779136.53
Active Growth Fund 17,17,2022-06-01,-121689.74
Core Equity ETF Fund 12,12,2022-06-01,416843.89
Core Equity ETF Fund 27,27,2022-06-01,-4088533.17
Core Equity ETF Fund 38,38,2022-06-01,755858.25
Core Plus Bond Fund 21,21,2022-06-01,-3988779.94
Core Plus Bond Fund 40,40,2022-06-01,3520010.78
Core Plus Bond Fund 43,43,2022-06-01,6269562.09
Dividend ETF Fund 09,9,2022-06-01,1409532.03
Dividend ETF Fund 23,23,2022-06-01,5835409.72
Dividend ETF Fund 28,28,2022-06-01,-3344371.32
Federal Money Market Fund 25,25,2022-06-01,8536409.28
Global Equity Fund 36,36,2022-06-01,2424232.24
Global Equity Fund 50,50,2022-06-01,-1077163.75
Growth ETF Fund 03,3,2022-06-01,11433585.95
Growth ETF Fund 22,22,2022-06-01,9564172.37
Growth ETF Fund 37,37,2022-06-01,7212287.43
Growth ETF Fund 42,42,2022-06-01,3950974.69
Growth ETF Fund 46,46,2022-06-01,5689606.15
International ETF Fund 24,24,2022-06-01,4035854.53
International ETF Fund 33,33,2022-06-01,4023827.55
International ETF Fund 44,44,2022-06-01,-2082963.99
International ETF Fund 45,45,2022-06-01,1468392.25
International Index Fund 19,19,2022-06-01,1685847.45
International Index Fund 26,26,2022-06-01,338212.07
International Index Fund 49,49,2022-06-01,-334051.96
Large Cap Index Fund 07,7,2022-06-01,-5721048.52
Large Cap Index Fund 08,8,2022-06-01,9167642.06
Large Cap Index Fund 18,18,2022-06-01,4147116.97
Large Cap Index Fund 48,48,2022-06-01,2581634.81
Municipal Bond Fund 13,13,2022-06-01,1414521.36
Municipal Bond Fund 30,30,2022-06-01,1195932.73
Municipal Bond Fund 31,31,2022-06-01,2398622.05
Prime Cash Reserves Fund 02,2,2022-06-01,7513285.18
Prime Cash Reserves Fund 29,29,2022-06-01,12396800.05
Prime Cash Reserves Fund 51,51,2022-06-01,13395172.77
Short Term Bond Fund 32,32,2022-06-01,13196607.5
Short Term Bond Fund 41,41,2022-06-01,3840025.09
Small Cap Index Fund 01,1,2022-06-01,-892197.01
Small Cap Index Fund 20,20,2022-06-01,2895648.02
Small Cap Index Fund 35,35,2022-06-01,4453712.84
Target Retirement 2030 Fund 16,16,2022-06-01,4270036.53
Target Retirement 2030 Fund 34,34,2022-06-01,6864363.33
Target Retirement 2040 Fund 15,15,2022-06-01,6934467.21
Target Retirement 2040 Fund 52,52,2022-06-01,7293914.52
Target Retirement 2050 Fund 05,5,2022-06-01,6421752.74
Total Bond Fund 04,4,2022-06-01,-1693915.26
Total Market Index Fund 11,11,2022-06-01,6080729.4
Total Market Index Fund 39,39,2022-06-01,2691674.78
Total Market Index Fund 47,47,2022-06-01,-154529.96
Value Opportunities Fund 06,6,2022-06-01,3234781.78
Active Growth Fund 10,10,2022-07-01,1798759.96
Active Growth Fund 14,14,2022-07-01,4152000.64
Active Growth Fund 17,17,2022-07-01,674879.48
Core Equity ETF Fund 12,12,2022-07-01,5153177.75
Core Equity ETF Fund 27,27,2022-07-01,2660419.83
Core Equity ETF Fund 38,38,2022-07-01,-732366.09
Core Plus Bond Fund 21,21,2022-07-01,896272.5
Core Plus Bond Fund 40,40,2022-07-01,-1233639.15
Core Plus Bond Fund 43,43,2022-07-01,-643632.1
Dividend ETF Fund 09,9,2022-07-01,-109112.48
Dividend ETF Fund 23,23,2022-07-01,3462020.04
Dividend ETF Fund 28,28,2022-07-01,3283592.13
Federal Money Market Fund 25,25,2022-07-01,18640405.24
Global Equity Fund 36,36,2022-07-01,3105587.8
Global Equity Fund 50,50,2022-07-01,-1339976.34
Growth ETF Fund 03,3,2022-07-01,10952408.75
Growth ETF Fund 22,22,2022-07-01,1441662.2
Growth ETF Fund 37,37,2022-07-01,1912285.92
Growth ETF Fund 42,42,2022-07-01,-140041.95
Growth ETF Fund 46,46,2022-07-01,7531153.92
International ETF Fund 24,24,2022-07-01,5816396.57
International ETF Fund 33,33,2022-07-01,4900343.83
International ETF Fund 44,44,2022-07-01,-485671.35
International ETF Fund 45,45,2022-07-01,9855240.03
International Index Fund 19,19,2022-07-01,-739289.14
International Index Fund 26,26,2022-07-01,-94986.42
International Index Fund 49,49,2022-07-01,9839184.46
Large Cap Index Fund 07,7,2022-07-01,-511460.65
Large Cap Index Fund 08,8,2022-07-01,2510548.17
Large Cap Index Fund 18,18,2022-07-01,-149410.32
Large Cap Index Fund 48,48,2022-07-01,9408240.3
Municipal Bond Fund 13,13,2022-07-01,234828.22
Municipal Bond Fund 30,30,2022-07-01,2296960.83
Municipal Bond Fund 31,31,2022-07-01,3034443.42
Prime Cash Reserves Fund 02,2,2022-07-01,14571301.74
Prime Cash Reserves Fund 29,29,2022-07-01,3267779.95
Prime Cash Reserves Fund 51,51,2022-07-01,-4248554.16
Short Term Bond Fund 32,32,2022-07-01,3607933.97
Short Term Bond Fund 41,41,2022-07-01,3504330.09
Small Cap Index Fund 01,1,2022-07-01,21686.6
Small Cap Index Fund 20,20,2022-07-01,169881.8
Small Cap Index Fund 35,35,2022-07-01,-4317768.25
Target Retirement 2030 Fund 16,16,2022-07-01,8468384.96
Target Retirement 2030 Fund 34,34,2022-07-01,7164188.02
Target Retirement 2040 Fund 15,15,2022-07-01,6366094.22
Target Retirement 2040 Fund 52,52,2022-07-01,3993031.42
Target Retirement 2050 Fund 05,5,2022-07-01,7697444.77
Total Bond Fund 04,4,2022-07-01,1629394.79
Total Market Index Fund 11,11,2022-07-01,777564.31
Total Market Index Fund 39,39,2022-07-01,7603351.67
Total Market Index Fund 47,47,2022-07-01,-6218768.33
Value Opportunities Fund 06,6,2022-07-01,-4329599.11
Active Growth Fund 10,10,2022-08-01,2814780.16
Active Growth Fund 14,14,2022-08-01,2465437.69
Active Growth Fund 17,17,2022-08-01,132049.93
Core Equity ETF Fund 12,12,2022-08-01,-2571951.49
Core Equity ETF Fund 27,27,2022-08-01,-1888201.19
Core Equity ETF Fund 38,38,2022-08-01,3250110.64
Core Plus Bond Fund 21,21,2022-08-01,204027.66
Core Plus Bond Fund 40,40,2022-08-01,636362.24
Core Plus Bond Fund 43,43,2022-08-01,2072666.37
Dividend ETF Fund 09,9,2022-08-01,497839.23
Dividend ETF Fund 23,23,2022-08-01,-3721063.32
Dividend ETF Fund 28,28,2022-08-01,18845266.83
Federal Money Market Fund 25,25,2022-08-01,-1654345.87
Global Equity Fund 36,36,2022-08-01,4833022.09
Global Equity Fund 50,50,2022-08-01,54356.67
Growth ETF Fund 03,3,2022-08-01,777180.04
Growth ETF Fund 22,22,2022-08-01,3310935.53
Growth ETF Fund 37,37,2022-08-01,2439823.99
Growth ETF Fund 42,42,2022-08-01,3900082.02
Growth ETF Fund 46,46,2022-08-01,14652184.22
International ETF Fund 24,24,2022-08-01,-3847674.01
International ETF Fund 33,33,2022-08-01,-2880812.37
International ETF Fund 44,44,2022-08-01,10779651.45
International ETF Fund 45,45,2022-08-01,-519122.5
International Index Fund 19,19,2022-08-01,5334312.09
International Index Fund 26,26,2022-08-01,-316325.51
International Index Fund 49,49,2022-08-01,1968790.28
Large Cap Index Fund 07,7,2022-08-01,-6836836.76
Large Cap Index Fund 08,8,2022-08-01,2946782.13
Large Cap Index Fund 18,18,2022-08-01,235515.0
Large Cap Index Fund 48,48,2022-08-01,4447910.74
Municipal Bond Fund 13,13,2022-08-01,-605013.56
Municipal Bond Fund 30,30,2022-08-01,-72119.72
Municipal Bond Fund 31,31,2022-08-01,4941259.23
Prime Cash Reserves Fund 02,2,2022-08-01,3289058.5
Prime Cash Reserves Fund 29,29,2022-08-01,11255634.32
Prime Cash Reserves Fund 51,51,2022-08-01,15574221.35
Short Term Bond Fund 32,32,2022-08-01,-2550735.37
Short Term Bond Fund 41,41,2022-08-01,-306427.49
Small Cap Index Fund 01,1,2022-08-01,-43926575.9
Small Cap Index Fund 20,20,2022-08-01,-650907.03
Small Cap Index Fund 35,35,2022-08-01,-2433751.07
Target Retirement 2030 Fund 16,16,2022-08-01,8830478.54
Target Retirement 2030 Fund 34,34,2022-08-01,4241808.46
Target Retirement 2040 Fund 15,15,2022-08-01,7348965.69
Target Retirement 2040 Fund 52,52,2022-08-01,4570114.03
Target Retirement 2050 Fund 05,5,2022-08-01,8659630.6
Total Bond Fund 04,4,2022-08-01,-3856981.83
Total Market Index Fund 11,11,2022-08-01,851427.28
Total Market Index Fund 39,39,2022-08-01,7738956.53
Total Market Index Fund 47,47,2022-08-01,1108721.98
Value Opportunities Fund 06,6,2022-08-01,-3970484.18
Active Growth Fund 10,10,2022-09-01,-134152.04
Active Growth Fund 14,14,2022-09-01,2638207.73
Active Growth Fund 17,17,2022-09-01,187185.38
Core Equity ETF Fund 12,12,2022-09-01,12316016.99
Core Equity ETF Fund 27,27,2022-09-01,4601435.93
Core Equity ETF Fund 38,38,2022-09-01,2520857.58
Core Plus Bond Fund 21,21,2022-09-01,-978501.38
Core Plus Bond Fund 40,40,2022-09-01,425383.32
Core Plus Bond Fund 43,43,2022-09-01,2533863.3
Dividend ETF Fund 09,9,2022-09-01,799470.49
Dividend ETF Fund 23,23,2022-09-01,4163238.5
Dividend ETF Fund 28,28,2022-09-01,2527597.87
Federal Money Market Fund 25,25,2022-09-01,9934311.33
Global Equity Fund 36,36,2022-09-01,-1841694.52
Global Equity Fund 50,50,2022-09-01,1400905.77
Growth ETF Fund 03,3,2022-09-01,7087028.97
Growth ETF Fund 22,22,2022-09-01,9155109.23
Growth ETF Fund 37,37,2022-09-01,4629188.18
Growth ETF Fund 42,42,2022-09-01,5383546.96
Growth ETF Fund 46,46,2022-09-01,8818631.94
International ETF Fund 24,24,2022-09-01,522856.68
International ETF Fund 33,33,2022-09-01,2715724.13
International ETF Fund 44,44,2022-09-01,2041725.46
International ETF Fund 45,45,2022-09-01,1115887.46
International Index Fund 19,19,2022-09-01,7569961.85
International Index Fund 26,26,2022-09-01,-485055.98
International Index Fund 49,49,2022-09-01,2670893.66
Large Cap Index Fund 07,7,2022-09-01,621116.96
Large Cap Index Fund 08,8,2022-09-01,-20471.94
Large Cap Index Fund 18,18,2022-09-01,7292161.25
Large Cap Index Fund 48,48,2022-09-01,1465212.69
Municipal Bond Fund 13,13,2022-09-01,-2972835.26
Municipal Bond Fund 30,30,2022-09-01,5200034.25
Municipal Bond Fund 31,31,2022-09-01,8349277.87
Prime Cash Reserves Fund 02,2,2022-09-01,10707277.2
Prime Cash Reserves Fund 29,29,2022-09-01,-2997994.6
Prime Cash Reserves Fund 51,51,2022-09-01,8408267.07
Short Term Bond Fund 32,32,2022-09-01,1225687.42
Short Term Bond Fund 41,41,2022-09-01,-257098.25
Small Cap Index Fund 01,1,2022-09-01,604327.13
Small Cap Index Fund 20,20,2022-09-01,5538877.26
Small Cap Index Fund 35,35,2022-09-01,9957082.59
Target Retirement 2030 Fund 16,16,2022-09-01,2540356.75
Target Retirement 2030 Fund 34,34,2022-09-01,1792266.43
Target Retirement 2040 Fund 15,15,2022-09-01,5689285.28
Target Retirement 2040 Fund 52,52,2022-09-01,3008322.26
Target Retirement 2050 Fund 05,5,2022-09-01,6591531.34
Total Bond Fund 04,4,2022-09-01,-2161320.47
Total Market Index Fund 11,11,2022-09-01,5820898.35
Total Market Index Fund 39,39,2022-09-01,-1698225.81
Total Market Index Fund 47,47,2022-09-01,1624858.75
Value Opportunities Fund 06,6,2022-09-01,651324.49
Active Growth Fund 10,10,2022-10-01,242671.7
Active Growth Fund 14,14,2022-10-01,2275912.23
Active Growth Fund 17,17,2022-10-01,436223.43
Core Equity ETF Fund 12,12,2022-10-01,-1607318.39
Core Equity ETF Fund 27,27,2022-10-01,10518634.28
Core Equity ETF Fund 38,38,2022-10-01,7456168.36
Core Plus Bond Fund 21,21,2022-10-01,-1524769.11
Core Plus Bond Fund 40,40,2022-10-01,2151188.49
Core Plus Bond Fund 43,43,2022-10-01,-528376.29
Dividend ETF Fund 09,9,2022-10-01,1926750.61
Dividend ETF Fund 23,23,2022-10-01,2965172.94
Dividend ETF Fund 28,28,2022-10-01,-258567.36
Federal Money Market Fund 25,25,2022-10-01,6148051.64
Global Equity Fund 36,36,2022-10-01,-39150.01
Global Equity Fund 50,50,2022-10-01,9755646.65
Growth ETF Fund 03,3,2022-10-01,10524393.84
Growth ETF Fund 22,22,2022-10-01,5808672.81
Growth ETF Fund 37,37,2022-10-01,353215.48
Growth ETF Fund 42,42,2022-10-01,2241143.86
Growth ETF Fund 46,46,2022-10-01,2424203.13
International ETF Fund 24,24,2022-10-01,3618462.19
International ETF Fund 33,33,2022-10-01,11010593.84
International ETF Fund 44,44,2022-10-01,3643525.04
International ETF Fund 45,45,2022-10-01,-2515080.89
International Index Fund 19,19,2022-10-01,3230678.53
International Index Fund 26,26,2022-10-01,905551.16
International Index Fund 49,49,2022-10-01,-2566944.28
Large Cap Index Fund 07,7,2022-10-01,-5962232.47
Large Cap Index Fund 08,8,2022-10-01,-3975805.47
Large Cap Index Fund 18,18,2022-10-01,798876.36
Large Cap Index Fund 48,48,2022-10-01,6438174.58
Municipal Bond Fund 13,13,2022-10-01,990904.43
Municipal Bond Fund 30,30,2022-10-01,-3644427.13
Municipal Bond Fund 31,31,2022-10-01,4070333.76
Prime Cash Reserves Fund 02,2,2022-10-01,17654267.65
Prime Cash Reserves Fund 29,29,2022-10-01,-1827186.35
Prime Cash Reserves Fund 51,51,2022-10-01,8855099.97
Short Term Bond Fund 32,32,2022-10-01,1329738.98
Short Term Bond Fund 41,41,2022-10-01,1642912.63
Small Cap Index Fund 01,1,2022-10-01,6703509.66
Small Cap Index Fund 20,20,2022-10-01,-5426997.79
Small Cap Index Fund 35,35,2022-10-01,5955586.22
Target Retirement 2030 Fund 16,16,2022-10-01,4248808.47
Target Retirement 2030 Fund 34,34,2022-10-01,7393294.53
Target Retirement 2040 Fund 15,15,2022-10-01,9824476.06
Target Retirement 2040 Fund 52,52,2022-10-01,5380831.07
Target Retirement 2050 Fund 05,5,2022-10-01,8493816.67
Total Bond Fund 04,4,2022-10-01,-645353.66
Total Market Index Fund 11,11,2022-10-01,5287414.39
Total Market Index Fund 39,39,2022-10-01,3190920.98
Total Market Index Fund 47,47,2022-10-01,3788281.34
